year,coeff,s.e.,coeff,s.e.,p,coeff,s.e.,p
1984,"-0,163","0,035","-0,019","0,036","0,601","-0,003","0,001","0,027"
1985,"-0,191","0,036","0,005","0,030","0,864","-0,003","0,001","0,024"
1986,"-0,129","0,034","-0,039","0,041","0,344","-0,001","0,001","0,681"
1987,"-0,133","0,033","-0,064","0,039","0,105","-0,002","0,001","0,141"
1988,"-0,150","0,034","-0,031","0,034","0,365","-0,003","0,001","0,038"
1989,"-0,153","0,033","0,018","0,033","0,590","-0,002","0,001","0,056"
1990,"-0,164","0,032","-0,027","0,032","0,404","-0,001","0,001","0,341"
1991,"-0,167","0,033","0,014","0,034","0,685","-0,002","0,001","0,152"
1992,"-0,178","0,032","-0,007","0,030","0,808","-0,001","0,001","0,298"
1993,"-0,162","0,033","-0,033","0,033","0,311","-0,001","0,001","0,264"
1994,"-0,176","0,034","-0,035","0,029","0,233","-0,001","0,001","0,225"
1995,"-0,172","0,036","-0,026","0,032","0,422","-0,002","0,001","0,077"
1996,"-0,195","0,037","-0,015","0,031","0,624","-0,003","0,001","0,058"
1997,"-0,214","0,038","-0,030","0,027","0,268","-0,002","0,001","0,225"
1998,"-0,200","0,036","-0,049","0,028","0,076","0,000","0,001","0,866"
1999,"-0,219","0,036","-0,029","0,027","0,282","-0,001","0,001","0,559"
2000,"-0,211","0,028","-0,010","0,024","0,669","-0,002","0,001","0,057"
2001,"-0,191","0,027","-0,007","0,023","0,769","-0,002","0,001","0,021"
2002,"-0,222","0,029","0,005","0,023","0,819","-0,004","0,001","0,001"
2003,"-0,209","0,029","0,016","0,024","0,499","-0,005","0,001","0,000"
2004,"-0,228","0,029","-0,025","0,024","0,298","-0,003","0,001","0,006"
2005,"-0,205","0,030","-0,027","0,026","0,312","-0,002","0,001","0,170"
2006,"-0,213","0,030","-0,032","0,026","0,221","-0,002","0,001","0,107"
2007,"-0,222","0,030","-0,015","0,025","0,536","-0,003","0,001","0,008"
2008,"-0,226","0,031","-0,048","0,027","0,082","-0,002","0,001","0,149"
2009,"-0,206","0,031","-0,026","0,028","0,343","-0,004","0,001","0,004"
2010,"-0,222","0,034","-0,020","0,028","0,473","-0,003","0,001","0,023"
2011,"-0,215","0,032","-0,029","0,028","0,297","-0,004","0,001","0,001"
2012,"-0,228","0,034","0,020","0,027","0,471","-0,005","0,001","0,000"
2013,"-0,224","0,033","-0,005","0,028","0,857","-0,003","0,001","0,017"
2014,"-0,238","0,035","0,015","0,028","0,579","-0,003","0,001","0,038"
2015,"-0,216","0,037","-0,020","0,031","0,519","-0,003","0,001","0,037"
2016,"-0,212","0,038","0,027","0,034","0,423","-0,003","0,001","0,037"
