year,ret_OLS,se_OLS,se_cf,ret_cf,ret_cmi,se_cmi,obs
1984,"0,060","0,004","0,030","0,118","0,053","0,006",1.448
1985,"0,067","0,003","0,024","0,100","0,060","0,005",1.412
1986,"0,067","0,004","0,036","0,104","0,059","0,006",1.463
1987,"0,069","0,004","0,034","0,154","0,062","0,005",1.489
1988,"0,064","0,003","0,029","0,127","0,058","0,005",1.476
1989,"0,064","0,003","0,028","0,073","0,056","0,005",1.553
1990,"0,065","0,003","0,026","0,100","0,057","0,005",1.571
1991,"0,060","0,004","0,028","0,067","0,053","0,005",1.602
1992,"0,067","0,003","0,024","0,082","0,057","0,005",1.555
1993,"0,070","0,004","0,027","0,115","0,063","0,005",1.527
1994,"0,068","0,003","0,024","0,117","0,062","0,005",1.491
1995,"0,062","0,003","0,026","0,113","0,057","0,005",1.444
1996,"0,069","0,003","0,025","0,112","0,062","0,005",1.383
1997,"0,067","0,003","0,021","0,112","0,061","0,005",1.285
1998,"0,062","0,003","0,022","0,110","0,060","0,005",1.452
1999,"0,065","0,003","0,021","0,098","0,061","0,005",1.452
2000,"0,067","0,003","0,019","0,102","0,063","0,004",2.701
2001,"0,069","0,003","0,019","0,106","0,066","0,004",2.659
2002,"0,073","0,003","0,019","0,115","0,069","0,004",2.818
2003,"0,074","0,003","0,020","0,122","0,071","0,004",2.741
2004,"0,069","0,003","0,018","0,133","0,065","0,004",2.558
2005,"0,069","0,003","0,021","0,116","0,066","0,004",2.457
2006,"0,071","0,003","0,020","0,126","0,068","0,004",2.525
2007,"0,072","0,003","0,020","0,132","0,071","0,004",2.462
2008,"0,076","0,003","0,021","0,147","0,072","0,005",2.316
2009,"0,075","0,003","0,023","0,153","0,075","0,004",2.367
2010,"0,077","0,003","0,023","0,139","0,074","0,005",2.183
2011,"0,078","0,003","0,023","0,162","0,075","0,004",2.523
2012,"0,076","0,003","0,022","0,127","0,076","0,004",2.493
2013,"0,072","0,003","0,022","0,117","0,071","0,004",2.477
2014,"0,074","0,003","0,022","0,091","0,070","0,004",2.353
2015,"0,074","0,003","0,025","0,129","0,071","0,005",2.147
2016,"0,076","0,003","0,028","0,085","0,071","0,005",1.971
